Job,Company,Location,Date,Link
asistente administrativo de desarrollo inmobiliario,farmacias peruanas,"la victoria, lima",2022-01-13,https://www.bumeran.com.pe/empleos/asistente-administrativo-de-desarrollo-inmobiliario-farmacias-peruanas-1114914758.html
practicante de canales digitales,mibanco,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-canales-digitales-mibanco-1114914757.html
jefe de campo uva,confidencial,"ascope, la libertad",2022-01-13,https://www.bumeran.com.pe/empleos/jefe-de-campo-uva-1114914713.html
gerente de marketing,ambission industries s.a.c.,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/gerente-de-marketing-ambission-industries-s.a.c.-1114914668.html
asistente de calidad educativa,universidad peruana de ciencias aplicadas,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/asistente-de-calidad-educativa-universidad-peruana-de-ciencias-aplicadas-1114914674.html
asistente de mantenimiento chorrillos,universidad peruana de ciencias aplicadas,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/asistente-de-mantenimiento-chorrillos-universidad-peruana-de-ciencias-aplicadas-1114914669.html
coordinador de cuenta consumo masivobotellas,tawa,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/coordinador-de-cuenta-consumo-masivo-botellas-tawa-1114914583.html
practicante profesional de responsabilidad social,volcan compañia minera s.a.a.,"yauli, junin",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-responsabilidad-social-volcan-compania-minera-s.a.a.-1114914581.html
asistente de calidad lurin ref 21131,manpower perú,"lurín, lima",2022-01-13,https://www.bumeran.com.pe/empleos/asistente-de-calidad-lurin-ref-21131-manpower-peru-1114914531.html
practicante de marketing,dinet,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-marketing-dinet-1114914529.html
asistente de educación primaria,capitale consultores,"la molina, lima",2022-01-13,https://www.bumeran.com.pe/empleos/asistente-de-educacion-primaria-capitale-consultores-1114914473.html
practicante de conciliaciones de tarjeta,farmacias peruanas,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-conciliaciones-de-tarjeta-farmacias-peruanas-1114914472.html
facilitador de proyectos sociales inglés avanzado o intermedio hua,world vision,"huancavelica, huancavelica",2022-01-13,https://www.bumeran.com.pe/empleos/facilitador-de-proyectos-sociales-ingles-avanzado-o-intermedio-huancavelica-world-vision-1114914468.html
químico farmacéutico asistente,adecco,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/quimico-farmaceutico-asistente-adecco-1114914465.html
asistente de recursos humanos licencia por maternidad,deloitte & touche srl,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/asistente-de-recursos-humanos-licencia-por-maternidad-deloitte-touche-srl-1114914422.html
practicante profesional de postventa mitsubishi,skberge peru s.a.c,"san isidro, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-postventa-mitsubishi-skberge-peru-s.a.c-1114914376.html
controller jr,g.w. yichang cia. s.a.,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/controller-jr.-g.w.-yichang-cia.-s.a.-1114914374.html
tecnicas de enfermeria,farmacias buen pastor,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/tecnicas-de-enfermeria-farmacias-buen-pastor-1114914371.html
